Model,Split,Identifier,Accuracy Train,Precision Train,Specificity Train,Recall Train,Accuracy Test,Precision Test,Specificity Test,Recall Test,Loss Train,Loss Test
NN,34_33_33,test1bollinger,0.9486184716,0.919582963,0.8999406099,0.9743409157,0.9449205399,0.915286541,0.8877199292,0.9785681963,0.1311926097,0.1399880499
Naive,34_33_33,test1bollinger,,,,,0.8051095183,0.7405570995,0.6711105773,0.9391621275,,
Naive Bayes,34_33_33,test1bollinger,,,,,0.7432226805,0.726320498,0.706061334,0.7803989106,,
Log Reg,34_33_33,test1bollinger,,,,,0.9094021543,0.8805897904,0.8716070142,0.9472124319,,
KNN,34_33_33,test1bollinger,,,,,0.8877387579,0.8277192864,0.7962607094,0.9792534444,,
RFC,34_33_33,test1bollinger,,,,,0.9407760381,0.9177421804,0.9132436544,0.9683194489,,
NN,80_10_10,test1bollinger,0.9458554387,0.9146949053,0.8967205882,0.973965466,0.9414367676,0.9101014733,0.8850125074,0.9762855768,0.1348137408,0.1437218785
Naive,80_10_10,test1bollinger,,,,,0.7705121531,0.7024066092,0.6016826923,0.9391659329,,
Naive Bayes,80_10_10,test1bollinger,,,,,0.7222199976,0.7057168246,0.6815705128,0.7628271832,,
Log Reg,80_10_10,test1bollinger,,,,,0.871040724,0.8367532232,0.819911859,0.9221163852,,
KNN,80_10_10,test1bollinger,,,,,0.8595082689,0.7961369854,0.7522035256,0.9667013528,,
RFC,80_10_10,test1bollinger,,,,,0.9200937012,0.8940946803,0.8869791667,0.9531737773,,
NN,10_80_10,test1bollinger,0.9567674398,0.9323264956,0.9167011976,0.9748532176,0.9550514817,0.9306814075,0.9113041759,0.9793873429,0.1111948639,0.1181818843
Naive,10_80_10,test1bollinger,,,,,0.8103752052,0.7466794075,0.681701753,0.9391826923,,
Naive Bayes,10_80_10,test1bollinger,,,,,0.7493893405,0.7322408451,0.7129192348,0.7858974359,,
Log Reg,10_80_10,test1bollinger,,,,,0.9167701117,0.8916669805,0.8848555191,0.9487179487,,
KNN,10_80_10,test1bollinger,,,,,0.8961478397,0.8413021714,0.8160169695,0.9763621795,,
RFC,10_80_10,test1bollinger,,,,,0.9460217034,0.9258607498,0.9224365645,0.9696314103,,
NN,10_10_80,test1bollinger,0.9667033553,0.9443773031,0.9270964265,0.9842762947,0.9634605646,0.9404330254,0.9195654392,0.9845411777,0.09094520658,0.1003219187
Naive,10_10_80,test1bollinger,,,,,0.83127778,0.7718493083,0.7241737187,0.9390616213,,
Naive Bayes,10_10_80,test1bollinger,,,,,0.7621831578,0.7452147702,0.7300814306,0.7944886318,,
Log Reg,10_10_80,test1bollinger,,,,,0.9437792816,0.9227794793,0.9194874661,0.9682252752,,
KNN,10_10_80,test1bollinger,,,,,0.9186321227,0.8693524363,0.8529458726,0.9847352776,,
RFC,10_10_80,test1bollinger,,,,,0.9580747207,0.9378216453,0.9353744212,0.980919097,,
NN,34_33_33,test2bollinger,0.9774056673,0.9792570472,0.9707096219,0.9654189348,0.97653687,0.9788288474,0.9636741877,0.969717741,0.05888008326,0.0619783774
Naive,34_33_33,test2bollinger,,,,,0.8433114994,0.7872749808,0.738829872,0.9455179551,,
Naive Bayes,34_33_33,test2bollinger,,,,,0.7363728877,0.7324224937,0.7184388632,0.7539163843,,
Log Reg,34_33_33,test2bollinger,,,,,0.9739927475,0.9582488631,0.9558267271,0.9917631881,,
KNN,34_33_33,test2bollinger,,,,,0.9213834224,0.8681292874,0.8453790525,0.995732736,,
RFC,34_33_33,test2bollinger,,,,,0.966360418,0.9528466691,0.9503195606,0.9820519727,,
NN,80_10_10,test2bollinger,0.9732114673,0.9636770487,0.9522810578,0.9725273848,0.9712121487,0.9609583616,0.9427733421,0.9806204438,0.06936674565,0.07454717159
Naive,80_10_10,test2bollinger,,,,,0.8210666628,0.7607993746,0.6918968612,0.9457251898,,
Naive Bayes,80_10_10,test2bollinger,,,,,0.7001605297,0.7021146864,0.6863225788,0.7135151882,,
Log Reg,80_10_10,test2bollinger,,,,,0.9597098998,0.9406904175,0.9357936056,0.9827909138,,
KNN,80_10_10,test2bollinger,,,,,0.8990454213,0.8413408491,0.8069576384,0.9879170246,,
RFC,80_10_10,test2bollinger,,,,,0.9543780189,0.9392283963,0.9347429555,0.9733273247,,
NN,10_80_10,test2bollinger,0.9784752727,0.9618270397,0.950352788,0.9866922498,0.9784001708,0.9618350267,0.9463542104,0.9898093343,0.05751254782,0.06030925363
Naive,10_80_10,test2bollinger,,,,,0.8474537402,0.7905977793,0.7488303338,0.9458202119,,
Naive Bayes,10_80_10,test2bollinger,,,,,0.7626596339,0.7552946081,0.7472803467,0.7779988549,,
Log Reg,10_80_10,test2bollinger,,,,,0.9821267325,0.9693317356,0.9684118373,0.9958058975,,
KNN,10_80_10,test2bollinger,,,,,0.9314380312,0.8826037846,0.8672464766,0.9954623533,,
RFC,10_80_10,test2bollinger,,,,,0.9701443334,0.9566142126,0.9552082436,0.9850415116,,
