Model,Split,Identifier,Accuracy Train,Precision Train,Specificity Train,Recall Train,Accuracy Test,Precision Test,Specificity Test,Recall Test,Loss Train,Loss Test
NN,34_33_33,test11bollinger,0.9538342356681824,0.9242985844612122,0.9037058353424072,0.9799662232398987,0.9499459266662598,0.9200882315635681,0.890598475933075,0.9849871397018433,0.12285319715738297,0.1335056722164154
Naive,34_33_33,test11bollinger,,,,,0.8051095182797421,0.7405570995452249,0.671110577308031,0.9391621275232297,,
Naive Bayes,34_33_33,test11bollinger,,,,,0.7432226804949346,0.7263204980057405,0.706061333973897,0.7803989106055751,,
Log Reg,34_33_33,test11bollinger,,,,,0.9094021543266728,0.8805897903712254,0.8716070141724718,0.9472124319128484,,
KNN,34_33_33,test11bollinger,,,,,0.8843551035117927,0.8300543440875009,0.8021859236127793,0.9665571932073054,,
RFC,34_33_33,test11bollinger,,,,,0.9401353461738677,0.9165971643035863,0.9119224917927776,0.9683595001602051,,
NN,80_10_10,test11bollinger,0.9457203149795532,0.9244844317436218,0.9088495969772339,0.9598833918571472,0.9398950934410095,0.919189989566803,0.8976977467536926,0.9602473974227905,0.13815417885780334,0.15022510290145874
Naive,80_10_10,test11bollinger,,,,,0.7705121531253754,0.7024066091954023,0.6016826923076923,0.9391659329224366,,
Naive Bayes,80_10_10,test11bollinger,,,,,0.7222199975974052,0.7057168246445498,0.6815705128205128,0.7628271832226047,,
Log Reg,80_10_10,test11bollinger,,,,,0.8710407239819005,0.8367532231705103,0.8199118589743589,0.9221163851756984,,
KNN,80_10_10,test11bollinger,,,,,0.84903695991671,0.793348130212537,0.7538060897435898,0.9441687344913151,,
RFC,80_10_10,test11bollinger,,,,,0.9204941336643575,0.894796167574676,0.8878205128205128,0.9531337549027455,,
NN,10_80_10,test11bollinger,0.957493245601654,0.9334696531295776,0.9175747036933899,0.9747379422187805,0.9558122754096985,0.9327146410942078,0.9147125482559204,0.9776694178581238,0.11394115537405014,0.12211564183235168
Naive,10_80_10,test11bollinger,,,,,0.8103752052216394,0.7466794075489728,0.6817017529816697,0.9391826923076924,,
Naive Bayes,10_80_10,test11bollinger,,,,,0.7493893404877268,0.7322408451229983,0.712919234771472,0.7858974358974359,,
Log Reg,10_80_10,test11bollinger,,,,,0.9167701117206584,0.89166698045713,0.8848555190906908,0.9487179487179487,,
KNN,10_80_10,test11bollinger,,,,,0.8908621311015897,0.8402455614077924,0.8166973505162891,0.9651041666666667,,
RFC,10_80_10,test11bollinger,,,,,0.9464021142834261,0.9257843849122941,0.9222764748259025,0.9705528846153846,,
NN,10_10_80,test11bollinger,0.9675793647766113,0.9477645754814148,0.9301865100860596,0.9820103645324707,0.9641612768173218,0.9434889554977417,0.9211425185203552,0.9823077917098999,0.08942125737667084,0.09871020913124084
Naive,10_10_80,test11bollinger,,,,,0.8312777800024026,0.7718493082840823,0.7241737186651764,0.9390616212742027,,
Naive Bayes,10_10_80,test11bollinger,,,,,0.7621831578104352,0.7452147701582517,0.7300814306243014,0.794488631798827,,
Log Reg,10_10_80,test11bollinger,,,,,0.943779281624154,0.9227794793261869,0.9194874660705732,0.9682252751667069,,
KNN,10_10_80,test11bollinger,,,,,0.9173507387979017,0.8699757696693272,0.8543429666294108,0.9807584156824938,,
RFC,10_10_80,test11bollinger,,,,,0.9588155207624234,0.9397650683612555,0.9375698547022194,0.98019603117217,,
NN,34_33_33,test22bollinger,0.9694472551345825,0.9445081949234009,0.9286524057388306,0.9878191351890564,0.9688256978988647,0.9444288015365601,0.9182776212692261,0.9932388663291931,0.07460732012987137,0.0781484916806221
Naive,34_33_33,test22bollinger,,,,,0.843311499376514,0.7872749808180369,0.7388298720308402,0.9455179551157549,,
Naive Bayes,34_33_33,test22bollinger,,,,,0.7363728876721753,0.7324224936989546,0.718438863204881,0.7539163843089443,,
Log Reg,34_33_33,test22bollinger,,,,,0.973992747495306,0.9582488630759959,0.955826727148882,0.9917631881140394,,
KNN,34_33_33,test22bollinger,,,,,0.9190399747738968,0.8694372380762323,0.8482920537383516,0.9882473028339737,,
RFC,34_33_33,test22bollinger,,,,,0.9664105834969686,0.9529384251361911,0.9504210083911827,0.9820519727235352,,
