,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
9,2010-01-11,2020-12-11,3987 days,152,1,41.44736842105263,4.828486842105262,-1.9249999999999998,21.38873015873016,10.16,-7.052413793103447,-5.19,733.9300000000001,ABIO
735,2010-01-21,2020-12-22,3988 days,174,1,37.93103448275862,3.575919540229884,-3.0949999999999998,21.693636363636376,10.52,-7.5660747663551415,-5.56,622.21,NVAX
80,2010-01-13,2020-10-22,3935 days,156,1,48.07692307692308,3.854102564102565,-1.095,14.908799999999998,10.81,-6.461500000000001,-5.2,601.24,ASTC
489,2010-01-11,2020-12-21,3997 days,161,1,45.962732919254655,3.5964596273291924,-2.2,17.86945945945946,13.995000000000001,-8.543793103448277,-6.43,579.03,HUSA
763,2010-01-19,2020-12-10,3978 days,169,1,37.8698224852071,3.2435502958579865,-3.31,22.794999999999995,15.02,-8.673523809523807,-6.5,548.1600000000001,OPTT
759,2010-01-26,2020-12-14,3975 days,178,1,36.51685393258427,2.192865168539326,-2.875,16.627230769230767,11.87,-6.164642857142858,-5.365,390.33000000000004,OMER
928,2010-01-08,2020-12-07,3986 days,177,1,48.58757062146893,2.098135593220339,-0.65,8.6993023255814,6.36,-4.233370786516852,-3.55,371.37,SPRT
195,2010-01-11,2020-11-23,3969 days,186,1,41.39784946236559,1.969516129032259,-2.38,13.99285714285714,10.46,-6.584444444444444,-5.135,366.33,CLDX
418,2010-01-04,2020-12-29,4012 days,175,1,41.714285714285715,1.8874857142857142,-2.48,14.093835616438358,10.27,-6.985400000000001,-5.265000000000001,330.31,GERN
401,2010-01-11,2020-12-22,3998 days,175,1,40.0,1.7664571428571434,-2.48,12.885285714285711,10.175,-5.646095238095238,-4.84,309.13,FOLD
1049,2010-01-08,2020-12-28,4007 days,170,1,44.11764705882353,1.810176470588235,-1.27,10.031866666666666,8.7,-4.680631578947369,-3.93,307.73,VECO
716,2010-01-13,2020-12-29,4003 days,177,1,36.72316384180791,1.7358192090395481,-2.08,14.056923076923075,8.58,-5.563853211009173,-3.84,307.24000000000007,NLS
230,2010-01-19,2020-11-16,3954 days,175,1,44.0,1.7251428571428573,-0.7,7.767272727272729,4.29,-3.05340206185567,-2.08,301.90000000000003,CPF
