,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
1113,2010-01-04,2020-12-11,3994 days,418,1,39.71291866028708,46.25009569377996,-5.244999999999999,137.91108433734945,19.705,-14.242800000000006,-13.105,19332.540000000005,YRCW
772,2010-01-14,2020-11-23,3966 days,375,1,44.800000000000004,29.94712,-1.99,79.52607142857143,16.85,-10.290869565217386,-8.55,11230.170000000002,OSTK
489,2010-01-04,2020-11-24,3977 days,268,1,35.44776119402985,28.597201492537355,-8.38,109.706,29.58,-15.942312138728315,-14.8,7664.05,HUSA
790,2010-01-08,2020-11-23,3972 days,371,1,47.7088948787062,19.92048517520216,-1.18,57.71858757062144,26.91,-14.640880829015535,-14.12,7390.5,PEIX
224,2010-01-07,2020-11-18,3968 days,402,1,47.01492537313433,13.569900497512439,-1.79,40.87777777777778,17.52,-10.661032863849764,-9.15,5455.099999999999,CONN
229,2010-01-07,2020-11-02,3952 days,380,1,45.526315789473685,14.094710526315795,-1.415,42.98323699421967,16.8,-10.146878048780486,-9.07,5355.99,CPE
916,2010-01-05,2020-11-02,3954 days,424,1,41.27358490566038,10.246084905660375,-3.0999999999999996,38.927142857142854,15.89,-9.95125,-8.655000000000001,4344.339999999999,SM
763,2010-01-20,2020-12-11,3978 days,255,1,38.43137254901961,16.761999999999993,-6.72,69.33897959183675,25.765,-16.15967948717949,-12.58,4274.31,OPTT
370,2010-01-04,2020-10-30,3952 days,322,1,35.40372670807454,13.01065217391305,-6.43,64.97263157894737,18.39,-15.618689320388354,-12.620000000000001,4189.429999999999,FCEL
265,2010-01-06,2020-11-03,3954 days,381,1,39.89501312335958,10.599790026246716,-3.62,40.46375000000001,15.46,-9.22257641921397,-8.28,4038.5199999999995,CVGI
464,2010-01-21,2020-11-25,3961 days,371,1,46.900269541778975,10.792398921832886,-0.77,30.731781609195423,14.8,-6.819035532994927,-5.8,4003.9799999999996,HIBB
1103,2010-02-25,2020-11-09,3910 days,396,1,41.41414141414141,9.478510101010107,-2.285,31.29993902439023,8.965,-5.972727272727272,-5.4,3753.4900000000002,WWE
754,2010-01-04,2020-12-21,4004 days,422,1,37.677725118483416,8.618317535545021,-3.0,35.613018867924524,8.58,-7.731068702290075,-6.195,3636.93,OIS
266,2010-01-15,2020-12-21,3993 days,484,1,45.45454545454545,7.471528925619837,-1.345,24.77722727272728,12.3,-6.949886363636363,-6.135,3616.2200000000003,CVI
717,2010-01-20,2020-12-14,3981 days,409,1,44.49877750611247,8.379119804400984,-2.61,31.189560439560424,15.225,-9.909427312775328,-8.3,3427.0600000000004,NNBR
945,2010-01-20,2020-12-14,3981 days,390,1,37.17948717948718,8.663769230769232,-2.935,35.18606896551725,9.12,-7.061926229508195,-5.725,3378.8700000000003,SUP
195,2010-02-22,2020-12-07,3941 days,345,1,35.07246376811594,9.758695652173914,-6.48,50.07363636363636,22.44,-12.018571428571425,-11.085,3366.75,CLDX
1064,2010-01-04,2020-10-02,3924 days,428,1,46.26168224299065,7.6634112149532765,-0.96,24.312676767676777,13.225000000000001,-6.698558951965064,-6.01,3279.94,VRTS
168,2010-01-20,2020-11-23,3960 days,408,1,40.68627450980392,7.9992647058823625,-3.855,34.26234939759037,15.370000000000001,-10.05746887966805,-9.2,3263.7,CDE
676,2010-01-06,2020-12-21,4002 days,447,1,41.61073825503356,7.222729306487697,-1.99,26.004301075268817,9.495000000000001,-6.185538461538463,-5.575,3228.56,MRO
1052,2010-01-06,2020-12-17,3998 days,399,1,44.3609022556391,7.664711779448631,-3.09,31.62677966101696,21.7,-11.49194570135746,-10.44,3058.2200000000003,VHI
647,2010-01-13,2020-12-17,3991 days,362,1,41.71270718232044,8.264281767955804,-3.065,35.318675496688755,20.09,-11.20311004784689,-8.11,2991.6700000000005,MGI
1007,2010-01-06,2020-10-22,3942 days,345,1,46.666666666666664,8.524927536231889,-1.51,27.355590062111812,15.82,-7.995355191256825,-7.18,2941.1000000000004,TTGT
571,2010-02-05,2020-12-14,3965 days,393,1,45.80152671755725,7.331882951653948,-1.99,25.349055555555545,13.14,-7.9311320754716945,-6.885,2881.4300000000003,KRA
711,2010-01-05,2020-12-01,3983 days,402,1,42.78606965174129,6.850373134328358,-2.17,25.411627906976744,11.120000000000001,-7.030217391304345,-6.005,2753.8500000000004,NFLX
145,2010-01-06,2020-12-07,3988 days,345,1,44.63768115942029,7.68005797101449,-2.36,31.29201298701299,17.345,-11.417631578947363,-10.515,2649.6200000000003,BWEN
315,2010-01-04,2020-11-03,3956 days,413,1,41.88861985472155,6.1050363196125925,-1.99,23.046184971098263,9.39,-6.106708333333333,-5.21,2521.3799999999997,DVN
640,2010-01-11,2020-12-11,3987 days,375,1,41.333333333333336,6.716693333333334,-2.04,25.581677419354833,14.31,-6.6045662100456655,-5.55,2518.7600000000007,MED
199,2010-02-24,2020-11-27,3929 days,288,1,42.01388888888889,8.535416666666663,-4.295,42.285950413223134,20.88,-16.014457831325295,-11.129999999999999,2458.2,CLSN
367,2010-01-21,2020-10-05,3910 days,368,1,39.40217391304348,6.227065217391305,-3.465,29.269655172413778,12.11,-8.75578475336323,-7.32,2291.5600000000004,FBP
120,2010-01-12,2020-12-10,3985 days,376,1,40.691489361702125,6.044920212765957,-3.17,27.34359477124183,11.11,-8.60666666666667,-7.17,2272.8900000000003,BGFV
994,2010-01-21,2020-12-10,3976 days,386,1,47.66839378238342,5.805233160621767,-0.9850000000000001,22.100380434782604,13.350000000000001,-9.082835820895522,-8.11,2240.82,TREE
467,2010-01-05,2020-10-08,3929 days,407,1,32.67813267813268,5.2544963144963175,-4.51,34.660601503759395,10.64,-9.019270072992702,-7.415,2138.58,HLX
664,2010-01-14,2020-12-31,4004 days,343,1,39.650145772594755,6.223760932944601,-4.14,34.96786764705887,21.049999999999997,-12.784780487804888,-10.94,2134.7499999999995,MNKD
521,2010-01-05,2020-10-26,3947 days,345,1,32.17391304347826,5.824637681159424,-6.92,45.31675675675678,32.85,-12.908803418803416,-10.96,2009.4999999999998,IO
927,2010-01-04,2020-10-22,3944 days,414,1,42.028985507246375,4.7462077294685985,-1.6349999999999998,19.380344827586214,8.344999999999999,-5.8635416666666655,-4.970000000000001,1964.9299999999998,SPR
963,2010-01-21,2020-08-18,3862 days,361,1,45.15235457063712,5.423518005540166,-0.73,19.125092024539878,11.25,-5.856060606060605,-5.17,1957.8900000000003,TCBI
845,2010-01-07,2020-10-28,3947 days,408,1,39.705882352941174,4.663553921568628,-3.01,24.011851851851862,11.375,-8.14422131147541,-6.495,1902.73,RDN
880,2010-01-29,2020-11-09,3937 days,368,1,43.20652173913043,5.110081521739132,-1.43,19.270880503144657,11.73,-5.6629665071770345,-5.24,1880.51,SAM
829,2010-01-04,2020-11-09,3962 days,369,1,32.79132791327913,4.926693766937669,-3.83,30.15347107438016,10.11,-7.411417004048584,-6.64,1817.9499999999998,PTEN
1011,2010-01-21,2020-12-14,3980 days,365,1,37.80821917808219,4.957178082191782,-1.91,23.454130434782613,6.26,-6.287665198237885,-4.7,1809.3699999999992,TUP
716,2010-01-15,2020-10-30,3941 days,368,1,35.05434782608695,4.897309782608692,-3.7,31.921627906976738,18.97,-9.729747899159664,-8.245000000000001,1802.2100000000003,NLS
234,2010-01-05,2020-10-21,3942 days,323,1,36.84210526315789,5.520526315789472,-5.12,33.911008403361336,14.51,-11.261400000000002,-9.825,1783.13,CPST
746,2010-01-04,2020-10-26,3948 days,386,1,39.37823834196891,4.577538860103626,-3.5700000000000003,29.038684210526327,15.69,-11.458658008658007,-8.0,1766.93,OCN
1017,2010-01-15,2020-12-18,3990 days,349,1,44.126074498567334,4.971060171919769,-1.86,23.960129870129865,13.965,-10.182083333333331,-8.075,1734.9,TZOO
